;;sentence;target_word;sense
59252;Rain is scarce in this country.;Reen ass rar an dësem Land.;Land;1
4991897;This country has a harsh climate.;Dëst Land huet e strenge Klima.;Land;1
3935488;Greece is an old country.;Griicheland ass en aalt Land.;Land;1
10361780;"My country's name is ""Russia"".";"Mengem Land säin Numm ass ""Russland"".";Land;1
10620627;Rain is rare in this country.;Reen ass rar an dësem Land.;Land;1
10620877;That is a specialty of my country.;Dat ass eng Spezialitéit aus mengem Land.;Land;1
LOD;Our country has borders with three other countries.;Eist Land huet Grenze mat dräi anere Länner.;Land;1
LOD;My cousin has already been to over 30 countries on vacation.;Mäi Cousin war schonn an iwwer 30 Länner an der Vakanz.;Land;1
LOD;He's back in the country.;Hien ass nees zu Land.;Land;1
LOD;The whole country stands behind his football team.;D'ganzt Land steet hanner senger Fussballsekipp.;Land;1
LOD;All the inhabitants of the country stand behind their football team.;All d'Awunner vum Land stinn hanner hirer Fussballsekipp.;Land;1
16950;Your answer is wrong.;Deng Äntwert ass falsch.;FALSCH;1
16950;Your answer is wrong.;Är Äntwert ass falsch.;FALSCH;1
2966889;Your answer is incorrect.;Deng Äntwert ass falsch.;FALSCH;1
LOD;That bill is wrong.;Déi Rechnung ass falsch.;FALSCH;1
LOD;The clarinetist played very wrong.;De Klarinettist huet ganz falsch gespillt.;FALSCH;1
740214;I am a woman.;Ech sinn eng Fra.;Fra;1
9345843;Tom is a man, and I'm a woman.;Den Tom ass e Mann, an ech sinn eng Fra.;Fra;1
10620597;You are not a woman.;Du bass keng Fra.;Fra;1
10620674;The woman is a teacher.;Déi Fra ass Léierin.;Fra;1
LOD;I enrolled in a yoga class for women.;Ech hu mech an e Yogascours fir Fraen ageschriwwen.;Fra;1
LOD;the cloakroom for women is on the left.;De Vestiär fir d'Fraen ass op der lénkser Säit.;Fra;1
LOD;It rains old women.;Et reent al Fraen.;Fra;1
408293;What's your name?;Wat ass däin Numm?;Numm;1
408293;What's your name?;Wat ass Ären Numm?;Numm;1
9349919;The cat's name is Tom.;Den Numm vun der Kaz ass Tom.;Numm;1
5927095;It's a Scandinavian name.;Et ass e skandinaveschen Numm.;Numm;1
10361774;"My village's name is ""Polperro"".";"De Numm vu mengem Duerf ass ""Polperro"".";Numm;1
10361780;"My country's name is ""Russia"".";"Mengem Land säin Numm ass ""Russland"".";Numm;1
70623;What is your name?;Wat ass däin Numm?;Numm;1
LOD;;Dir musst Ären Numm, Är Adress an Är Telefonsnummer uginn.;Numm;1
LOD;;Am Klassebuch ass eng Lëscht mat den Nimm vun de Schüler.;Numm;1
LOD;;Den Auto ass op mäin Numm ugemellt.;Numm;1
LOD;;Weess de kee schéinen Numm fir eisen neien Hond?;Numm;1
LOD;;Ech kennen hien nëmme vum Numm hier.;Numm;1
LOD;;D'Rechnung geet op mäin Numm.;Numm;1
4348223;The girl saw it, too.;D'Meedchen huet et och gesinn.;Meedchen;1
2363944;I am a girl.;Ech sinn e Meedchen.;Meedchen;1
9358980;Tom is a boy, and Mary is a girl.;Den Tom ass e Jong, an d'Mary ass e Meedchen.;Meedchen;1
10620728;The girl has seen it too.;D'Meedchen huet et och gesinn.;Meedchen;1
